date,league,away_team,home_team,watch_options
20250111,nhl,Boston Bruins,Florida Panthers,"ABC,ESPN+"
20250111,nhl,Seattle Kraken,Buffalo Sabres,"ESPN+,KONG,KHN,MSGB"
20250111,nhl,Ottawa Senators,Pittsburgh Penguins,"ESPN+,SportsNet PIT"
20250111,nhl,Vancouver Canucks,Toronto Maple Leafs,ESPN+
20250111,nhl,Dallas Stars,Montreal Canadiens,"ESPN+,Victory+"
20250111,nhl,Tampa Bay Lightning,New Jersey Devils,"ESPN+,FanDuel SN Sun,MSGSN"
20250111,nhl,Anaheim Ducks,Philadelphia Flyers,"ESPN+,KCOP,NBC Sports Phil,Victory+"
20250111,nhl,Edmonton Oilers,Chicago Blackhawks,"ESPN+,CHSN"
20250111,nhl,Columbus Blue Jackets,St. Louis Blues,"ESPN+,FanDuel SN MW,FanDuel SN OH"
20250111,nhl,Colorado Avalanche,Winnipeg Jets,"Altitude Sports,KTVD-TV (My20),NHL Net"
20250111,nhl,Washington Capitals,Nashville Predators,"ESPN+,FanDuel SN South,MNMT"
20250111,nhl,New York Islanders,Utah Hockey Club,"ESPN+,MSGSN,Utah 16"
20250111,nhl,Los Angeles Kings,Calgary Flames,"ESPN+,FanDuel SN West"
20250111,nhl,New York Rangers,Vegas Golden Knights,"ESPN+,MSG,Scripps Sports"
20250111,nhl,Minnesota Wild,San Jose Sharks,"ESPN+,FanDuel SN North Extra,FanDuel SN WI,NBC Sports BA"
